,Topic,Count,Name,Representation,KeyBERT,OpenAI-4,Representative_Docs
0,-1,4305,-1_like_know_water_just,"['like', 'know', 'water', 'just', 'people', 'right', 'don', 'think', 'lot', 'mean']","['sewer', 'pipe', 'water', 'things', 'pump', 'money', 'community', 'talking', 'mean', 'pay']",['Water Supply and Public Perception'],"['What was the question? Oh, PER. So engineer firm is revitalizing a cost estimate, producing a technical memo to add on to the preliminary engineering report that\'s going to describe the cost estimate and I need deficiency language. I need to come up with some more bad pipe language. Like water pipes are bad in this way. Probably won\'t last, you know, whatever kind of.. And this spot. It said something about assessment in there.. So the preliminary engineering report said the conditional assessment is beyond the scope of this project. It should be recommended. Well, when the reviewers at the state level reviewed it. They said ah, this preliminary engineering report\'s not complete. It needs a conditional assessment. So only phase one or phase two. Oh man, it\'s just caused a monkey wrench., it wasn\'t perfect. I can\'t go get funding directly with this thing., so what the city\'s doing is we\'re paying to get the conditional assessment done now. Give me everything I need. So I can go in there full bore, and go get this money right now while the infrastructure money\'s pouring down on us. Billion, 2 billion coming to Alaska. Got to grab it., 2 billion to Alaska. So I\'m going to put into the. And then it goes in. We\'re also having the engineer who works for enters information into the. Database. And it has to be in there first anyways, for to be funded, but what the state\'s trying to do is take this windfall of infrastructure, and say all the projects in our huge database of 700-800 projects, all water and sewer, all these water and sewer projects. means ready to go. All the deficiencies are there, everything. These are the high needs. These are Everything\'s ready. fundable projects. So we\'re working real hard to make, fundable. Get rid of that little problem of conditional assessment, get the assessment done, get everything in there get the language, move it up. Right now it\'s, move it up to a. Woo, we want to be funded too. Get that whole thing funded. That would be a huge success. Because people in have been screaming for years coming into Council. ""Look at this brown water! I can\'t believe it, the city\'s giving me brown water."" Well, they don\'t change their filter. You know, there\'s some things they don\'t do. But, it\'s a public display looks bad. We get a lot of complaints. ""Look at this T shirt. This used to be white. How am I supposed to go to work with a T shirt like this. You got to fix the water."" So at least we\'ll show we\'re doing something over there. You know, place some pipes, get some water, it will be more efficient, the water will run a little faster, because we\'re going to ', ""Right, right. There was an ordinance that said, when we come to your neighborhood with a mainline you have to hook up. So it's kind of understood that we are piping the whole town. As fast as we can, as slow as we can. We're trying to pipe the whole town. It's a money saver. And because of we got rid of honey buckets, you know, we're requiring you to hook up to a sewer. Drink our water. We produce safe water. We've got certified people. We've got three wells, running two plants. We're doing everything we can to get you safe water. If you have your own well, or you want to buy water from the city and haul it yourself. Fine. You can do that. Let us know. But it's required that you have hauled services. That you hook up. I mean, your sewer tank has to be 200 gallons bigger than your water tank. A little extra room there. And we're trying to provide you pipe water. So when we come by, hook up. So, we have great cooperation from the. I really thought people were gonna resist just because they didn't want the ugly pipes in their yard. They didn't. We got 100% cooperation. And we'll sign off on easements. Yes, you can come on my property. We got money. I mean, USDA, not just, we're going to bring it to your main line. Hook up to your house. We're gonna hook up to your house. That's a $40,000 cost. You know, each of the. Our grant loan is going to hook up to your house. And then turn it on. And your price goes down. As soon as you're on piped, you start saving money. Unlimited and save money. "", "". Have you had? I mean, we so we went to. And I mean, it was interesting to kind of compare and contrast. And, you know, there's just so much diversity. And, you know, I don't, I don't know that I have the same sense. You know, like I was saying, like, most people here would want pipes. And I think we heard that in as well. But like the amount of trust people have in the water system, the value that they would place or how they prioritize pipe water? I don't have a good sense of that for other communities. like, some of it was what I expected. Some of it wasn't, you know, I mean, and I don't even know, next door, do they feel the same? That sort of thing? And so?, I mean, I guess like, I'm curious about that. If I was in your situation. Water is important. Infrastructure is important. I don't know that I would know what that actually like, specifically, what that means? Does that mean, more water plant operator training? Does that mean more pipes? Or does that mean, more testing of the water? Like the aesthetic issues? That comes up a lot. That seems to be a barrier for people drinking water. Is the smell, look, taste, right? So it's not bad for you to drink water with iron in it, but people sure don't like it, you know? And so if it becomes a factor if people will opt for Coke, or Kool Aid instead, you know, tang instead? So it's, you know?, so I don't know, I was thinking about that. And I don't know if you thought about it at all, or have a better sense of what that would look like. ""]"
1,0,226,0_pipes_pipe_piped_piping,"['pipes', 'pipe', 'piped', 'piping', 'old', 'new', 'hdpe', 'replaced', 'pipeline', 'want']","['pipes', 'pipe', 'piping', 'pipeline', 'piped', 'hoses', 'exhaust', 'hooking', 'nozzle', 'trucks']",['Pipe Installation and Replacement'],"['pipes, and everything else. ', 'The pipes? ', 'pipes or do you have a- ']"
2,1,174,1_questions_asked_ask_didn,"['questions', 'asked', 'ask', 'didn', 'question', 'missing', 'want', 'add', 'list', 'think']","['questions', 'ask', 'asking', 'asked', 'question', 'things', 'check', 'discussion', 'stuff', 'curious']",['Inquiring About Unasked Questions'],"['.. I think those are all the questions I have. Do you have any questions for me? ', ""I don't think so. You've asked a lot of the questions I was going to. "", ""That’s. I think they're most of the questions that I have, but is there anything I didn't ask you that ""]"
3,2,163,2_plant_operator_operators_level,"['plant', 'operator', 'operators', 'level', 'plants', 'certification', 'water', 'training', 'hands', 'job']","['plant', 'plants', 'water', 'wastewater', 'operate', 'operators', 'operator', 'maintenance', 'boiler', 'field']",['Water Plant Operator Training'],"['water plant operator or about? ', 'plant. ', 'How about water plant operators? ']"
4,3,125,3_great_awesome_thank_perfect,"['great', 'awesome', 'thank', 'perfect', 'cool', 'thanks', 'good', 'nice', 'crazy', 'sweet']","['great', 'awesome', 'fantastic', 'amazing', 'good', 'happy', 'thanks', 'thank', 'perfect', 'nice']",['Expressions of Appreciation and Approval'],"["",. That's awesome. Well, great. "", 'Great. Awesome. ', 'Thank you that’s perfect. That’s awesome. ']"
5,4,124,4_filter_filters_brita_filtration,"['filter', 'filters', 'brita', 'filtration', 'filtered', 'backwash', 'filtering', 'air', 'britta', 'zero']","['filter', 'filtered', 'filters', 'filtering', 'filtration', 'water', 'osmosis', 'faucet', 'drink', 'drain']",['Water Filtration and Filters'],"['Well here I filter the water. ', 'have a filter? Do you have like a Brita filter? Do you have a different main filter that the water comes ', 'We use the filters. We filter the water. ']"
6,5,119,5_community_communities_members_meetings,"['community', 'communities', 'members', 'meetings', 'role', 'sense', 'did', 'introducing', 'respected', 'honestly']","['community', 'communities', 'people', 'folks', 'gathering', 'members', 'individuals', 'meetings', 'change', 'bunch']",['Role and Sense in Communities'],"['the community. Some people at least. ', 'community? ', 'community- ']"
7,6,104,6_lived_moved_live_grew,"['lived', 'moved', 'live', 'grew', 'long', 'living', 'brought', 'area', 'years', 'travel']","['years', 'relocating', 'lived', 'area', 'long', 'forever', 'living', 'lives', 'region', '18']",['Duration of Residence in Area'],"['here, so you moved to, but how long were you in ? ', '. So how long have you lived in the area? ', 'All right. How long have you lived in the area? ']"
8,7,95,7_tank_tanks_inside_plastic,"['tank', 'tanks', 'inside', 'plastic', 'holding', 'new', 'priming', 'cleaning', 'steel', 'fit']","['tanks', 'tank', 'gallon', 'fuel', 'inlet', 'volume', 'siphoning', 'pipe', 'piping', 'pumping']",['Cleaning and Priming New Tanks'],"[',. And how big is your tank? ', 'the tank was, where was the tank at, what side of the house it is, going around, around, ', 'that tank to.. ']"
9,8,95,8_piped_water_pipe_enjoy,"['piped', 'water', 'pipe', 'enjoy', 'pipes', 'clear', 'switch', 'desire', 'live', 'love']","['pipes', 'pipe', 'piped', 'water', 'watering', 'flow', 'toilet', 'bathtub', 'flush', 'upriver']",['Enjoyment and Preference of Piped Water'],"[', the piped water? ', ' you had piped water? ', ' so you are on piped water, what do you like about the piped water? ']"
