,Set,Interview,Page,Block,Speaker,Text,Time_Mark
0,21-22 Combined,INTERVIEW 1 ,1,2,Interviewee 1 ,"A sewer project called the [REDACTED], I forget how many 1000 feet. To hook up [REDACTED]. And the  original cost for it was [REDACTED]. So right now what they're quoting us for piped water, hauled, and  sewer is $1 million per 1000 feet. And so we recently, we bumped that [REDACTED] when we originally  started, we bumped it up by 40%. Because of all the all the supply problems and all that stuff that's going  on, we went out to bid this, this happened a month ago. And those projects came in at [REDACTED]. So  funding is the big crux problem. I can say, though, on that, and this is where [REDACTED] will come in.  There's been some big improvements in the systems, you know, like we're using the SCADA system, they  call it and so it electronically monitors the whole. So there's been a lot of improvements in the system  that weren't there before. But the expenses just kill us. It's just. And the problem right now we're in the  mix where the haul drivers, you need CDL licenses to do that. And those are in short supply. And just  today, we're almost down to the point where everybody's going to get water, but they're not going to get  what they need. Or what they want. You better grab a chair [REDACTED], they're doing a water and sewer  study and some of it's on systems. So anyways, from my standpoint, that's kind of been the big challenge.  And another challenge is for us as with the USDA is the paperwork involved. I mean, I can't, I can't, we're  lucky that we have somebody that can process the grants, [REDACTED], we're lucky we got somebody  with a lot of education is what it takes. But like the USDA, it took us two years just to put the application  together. So that's a big challenge for the villages, or anybody else is trying to get through this. And  [REDACTED] was involved in that side of the street in the villages. But so anyways, that's our challenges  of trying to get water, pipe water and sewer. Without it, the town has grown. And it's going to come to a  point where I just said that, we're only going to be able to deliver X amount of water to everybody, and  they'll have to live with it. We don't want to go there. ",00:00
2,21-22 Combined,INTERVIEW 1 ,1,2,Interviewer 1 ,So like with the new subdivisions coming online? ,02:56
1,21-22 Combined,INTERVIEW 1 ,1,2,Interviewee 1 ,"That's what I'm worried about. Yeah, so we're trying to do well, with this project, we're, we're kind of  chasing our tail. Because if this project can come about, it would have saved about [REDACTED] in labor  costs in driving the trucks around. It would also give the current personnel more time to do the work up  town. So there's some other benefits, you know, once you get piped up, we're right in the middle of we  actually did a preliminary engineering report, or we're working on it, it's not complete yet for the whole  town. So that's, so there's a lot of engineering, too, that goes into it just a tremendous amount of  engineering. So the idea that this would be that starting at A whatever you have there would be able to  help deliver water way over here. So the whole system has to get filled up, designed and built sort of  sustained all the way up to [REDACTED]. So that design is in the process, but now the next big hurdle will  be, how in the world are you gonna fund that.  ",02:59
3,21-22 Combined,INTERVIEW 1 ,1,2,Interviewer 1 ,"I think the scope of what we're trying to look at is all those things so just I mean treatment, but also billing  and personnel like you mentioned water truck drivers and like all the steps that go into people not getting  good water at their house is all those pieces. ",04:13
4,21-22 Combined,INTERVIEW 1 ,2,1,Interviewee 1 ,"One challenge on the hauled side of it for us. I mean, it might not be so much for like in a village where  you don't have as many houses. People want different quantities. So you know you'd be delivering 1000  gallons to this house once a week. So we maybe the next house next door wants 2000 gallons a week.  And when you try to meet their needs, their wants. It's not really their needs, but their wants. It's a real  challenge. And you said something about billing. And it's, it's very difficult to bill, I just recently found out  there's like a 10-digit number for all these different. If somebody wants 2000, 1000. So it's a real challenge  over here with personnel. I mean, when you're punching in ten digits at a time, it's really easy to make a  mistake and all that good stuff. So that's, that's been a big challenge, too. So yeah, you need a good  somebody in the billing department that can keep track of this.  ",04:47
9,21-22 Combined,INTERVIEW 1 ,2,1,Interviewer 1 ,I want to back up just a second because we kind of launched in. Can you introduce yourself?  ,05:49
5,21-22 Combined,INTERVIEW 1 ,2,1,Interviewee 1 ,[REDACTED] ,05:56
10,21-22 Combined,INTERVIEW 1 ,2,1,Interviewer 1 ,How long have you been doing this and living here and? ,06:00
6,21-22 Combined,INTERVIEW 1 ,2,1,Interviewee 1 ,"Well I've been living in town about [REDACTED] years and I worked I started working for [REDACTED].  [REDACTED]. And so we've been involved with water and sewer. The other the other big thing I think, too,  that is important is because you're dealing with a lot of land, you got to have utility easements, out here  in Alaska. The property ownership is very nuanced. What is very, can be very contentious. And nobody  knows no, you can't find a recorder in the state of Alaska, you don't have to record anything ",06:04
11,21-22 Combined,INTERVIEW 1 ,2,1,Interviewer 1 ,And the native allotment.  ,06:53
7,21-22 Combined,INTERVIEW 1 ,2,1,Interviewee 1 ,"And you have native allotments. You have just a whole bunch of issues with that. So that's kind of what  was important for us with bringing the general service contractor on board and so that's a company that  can do the engineering, has a real estate division, and it has a bunch of professionals that do different  tasks that they're readily available. Or else we would have never got anywhere with any of this. Especially  in the easements. ",06:54
12,21-22 Combined,INTERVIEW 1 ,2,1,Interviewer 1 ,I remember with [REDACTED] all the easements. One guy says no. ,07:22
8,21-22 Combined,INTERVIEW 1 ,2,1,Interviewee 1 ,"[REDACTED] of them just over there and we did well we got them all, the construction easements. But so  that that was that was another one that you really when you want to talk water and sewer projects, you  don't think of real estate. It certainly does come up. So ",07:31
18,21-22 Combined,INTERVIEW 1 ,3,1,Interviewer 1 ,"[REDACTED], can you introduce yourself? ",07:49
13,21-22 Combined,INTERVIEW 1 ,3,1,Interviewee 2 ,[REDACTED] ,07:52
19,21-22 Combined,INTERVIEW 1 ,3,1,Interviewer 1 ,All right. How long have you been out here? ,07:53
14,21-22 Combined,INTERVIEW 1 ,3,1,Interviewee 2 ,[REDACTED]. ,07:54
20,21-22 Combined,INTERVIEW 1 ,3,1,Interviewer 1 ,"Is that home? [REDACTED]. Well, great. And I kind of introduced ourselves. So all right, I'm gonna kind of  go through some of these questions. But I think you're getting at what we're kind of trying to learn. I guess,  broad question. What are the so, how is water delivery going? Are people getting water? ",08:10
15,21-22 Combined,INTERVIEW 1 ,3,1,Interviewee 2 ,"They're getting water right now. It's tough right now because we're so shorthanded. I mean, we got  [REDACTED] drivers positions, we only have [REDACTED] filled plus the foreman. So he's driving right now.  And we got [REDACTED] routes a day. So everybody's working [REDACTED] days a week, Saturdays  [REDACTED] routes. So pretty much everybody's working six days a week right now just to keep up.  [REDACTED] and I had a conversation earlier today. You know, we lose a couple of drivers which I'm  hearing a rumor that we might. What are we going to do? The best thing we can come up with is cut  everybody's water back. You know people are getting twice a week, they're gonna get once a week, people  who are getting twice a month they're gonna get once a month. I mean, we're just to that point that we  don't have the personnel. ",08:47
21,21-22 Combined,INTERVIEW 1 ,3,1,Interviewer 1 ,"Is that the main, so if somebody doesn't get water at their house is that, that's the first thing you thought  if, was it's drivers that's the main number one thing you would. People on piped water? ",09:35
16,21-22 Combined,INTERVIEW 1 ,3,1,Interviewee 2 ,Piped water's fine.  ,09:45
22,21-22 Combined,INTERVIEW 1 ,3,1,Interviewer 1 ,"It's fine? Okay. Okay, yeah. So, I mean, some of this I'm just restating. Because not everyone has lived here  for twenty years. No, that makes sense. And we've heard about the drivers since forever. Is there any?  What are you gonna do? Is there any way?  ",09:46
17,21-22 Combined,INTERVIEW 1 ,3,1,Interviewee 2 ,Anybody got any answers to that? ,10:08
23,21-22 Combined,INTERVIEW 1 ,4,1,Interviewee 1 ,"So it's a big question nationwide. Yeah, in the trucking industry. I've got a pretty good edition. Something  like that over there about the supply chain issue here, you can take a copy here.  ",10:09
28,21-22 Combined,INTERVIEW 1 ,4,1,Interviewee 2 ,"Last I heard was 86,000 drivers needed nationwide. ",10:24
24,21-22 Combined,INTERVIEW 1 ,4,1,Interviewee 1 ,"And then you know the other thing right at the moment, and we don't, we don't know. How everything’s  gonna end up in the end is like I said, the cost of that water and sewer project quadrupled. And we don't  know what the new norm is going to be. So right now there's that challenge. And we don't know where  it's going to end up. But the water. Finding drivers is a big problem nationwide. So I don't know, maybe  we'll just have to buy the trucks that don't have drivers. ",10:30
30,21-22 Combined,INTERVIEW 1 ,4,1,Interviewer 1 ,"Well, I'm gonna skip ahead a little bit, but because it kind of hits on this, though. I mean, so if you had  your choice piped water? ",11:14
