,,        Local,        Regional,        State,        Federal,    Audience,        Operators,        Governmental or Tribal Officials,        End-Users,        Operators-in-training,Technical Considerations,    Technical Background,    Stage in Water Process,        Small Systems,        Not Stage Specific,        Source Water,        Potable Water Distribution,        Potable Water Treatment,        Wastewater Collection,        Wastewater Treatment,        Water Storage,        End-Users Storage System,    Operating System,        System Components,        Design Considerations,        System Monitoring,        Equipment Installation,        Equipment Maintenence,        Equipment Operations,    Water Quality,        Testing,            At-Home,            Field,            Laboratory,        Possible Contamination Sources,        Source Water Testing,            Biological,            Chemical,            Physical Contaminants,        Treatment Process,        Effluent at End of Treatment Process,            Biological,            Chemical,            Physical Properties,        Water Recieved by End-User,            Biological,            Chemical,            Physical Properties,    Administrative Considerations,        Funding,        Strategic Planning,        Administrative Processes,        Worker Safety,        Compliance,    Threats and Security,        Hazardous Materials,        Cybersecurity,        Climate and Environment,        System Breakdown,Social Considerations,    COVID-19,    Certification,        Statistics on Certified People,        Application Process,        Design of Certification Process,        Content Covered,        Experience Requirements,        Cost Considerations,        Accessibility of Material,            Request hard copy,            In-person,            Library,            Online,        Previous Education Considerations,        Benefits of Certification,        Continuing Education Requirements or Renewal,        Study Tactics,    Health care,    Social Background,    Relevance,        To Operator,            Positive Implications,            Negative Implications,        To End-User,        To Environment,    Consequences of Poor Management,    Collaboration,    Water Governance,        Federal Policies and Regulations,        State Policies and Regulations,        Tribal Governance,    Water System Stakeholders,        Developers,        End-Users,        Environmental Attorneys,    Community Outreach
YRITWC_Water Quality Protection of Water Source and Traditional Water Sources ES.pdf,Regional,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YRITWC_nd_Drinking Water Improvement Program.pdf,Regional,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YRITWC_nd_Aquatic Buffer Ordinance.pdf,Regional,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YRITWC_nc_Template Emergency Response Plan.docx,Regional,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YRIT WC_2019_Safe Drinking Water and Sanitary Manual.pdf,Regional,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ONC_2022_Clean Water Makes a Healthy Home.pdf,Local,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HUD_2022_Round Three Awards for Rescue Place Act of 2021.pdf,Federal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA_2021_Learn about Capacity Development.pdf,Federal,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA_2017_Water Systems Partnerships Meeting Summary.pdf,Federal,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
EPA_2016_Summary of State Operator Certification Programs.pdf,Federal,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
